"cole_cod_dane_sede","cole_nombre_sede"
"315106000124","I.E.T. MANUEL BRICEÑO - SEDE PRINCIPAL"
"115861000011","COL NACIONALIZADO"
"315816000191","COL DPTAL HAYDEE CAMACHO SAAVEDRA"
"215632000657","IE JUAN PABLO II - SEDE PRINCIPAL"
"115212000266","COL JUANA CAPORAL"
"315001003523","COLEGIO COLOMBO BRITANICO"
"115667000027","I.E. SAN LUIS DE GACENO - SEDE PRINCIPAL"
"115516000424","I.E. TOMAS VASQUEZ RODRIGUEZ - SEDE PRINCIPAL"
"115299000038","I.E.T. SAN LUIS - SEDE PRINCIPAL"
"315693000298","I.E. RAFAEL REYES"
"315778000181","I.E. TECNICA SAN BARTOLOME - SEDE PRINCIPAL"
"115464000242","I.E.T. LISANDRO CELY - SEDE PRINCIPAL"
"315442000264","I.E. JORGE ELIECER GAITAN - SEDE PRINCIPAL"
"115759000278","EDIFICIO CALLE 18"
"415632000516","COL RUR GARAVITO"
"215842000226","COL DE EDUC BAS SAN ISIDRO"
"215820000087","IE VADO CASTRO - SEDE PRINCIPAL"
"215469000075","I.E. HERNANDO GELVEZ SUAREZ - SEDE PRINCIPAL"
"215248000208","COL DE EDUC BAS CASCAJAL"
"215757000187","COL EDUC BAS LOS LIBERTADORES"
"115757000395","I.E. ESCUELA NORMAL SUPERIOR - SEDE PRINCIPAL"
"115238000132","INSTITUTO TECNICO INDUSTRIAL RAFAEL REYES-DUITAMA"
"315176000857","COLEGIO MONTESSORI - SEDE PRINCIPAL"
"215516000305","I.E.T PANTANO DE VARGAS - SEDE PRINCIPAL"
"115403000011","I.E. TECNICA NUESTRA SEÑORA DE LAS MERCEDES - SEDE PRINCIPAL"
"215183000337","I.E. JESUS EMILIO JARAMILLO MONSALVE - SEDE PRINCIPAL"
"215842000196","COL DE EDUC BAS EL DIVINO NIÑO"
"115296000011","INSTITUCION EDUCATIVA"
"215442000065","I.E. ZULIA DE MARIPÍ"
"215183000060","COL ED BAS EL MORAL"
"215491000348","COL TEC DE NAZARETH"
"215516000305","IE TEC PANTANO DE VARGAS"
"215621000035","IE RANCHO GRANDE - SEDE PRINCIPAL"
"315778000181","INST TEC REGIONAL SAN BARTOLOME"
"115693000043","IE CASILDA ZAFRA"
"215087000164","COL DE EDUC BAS SAN JOSE DE LA MONTAÑA"
"215442000065","I.E. TECNICA ZULIA DE MARIPI - SEDE PRINCIPAL"
"215507000530","ESC SAN JOSE DE NAZARETH"
"315491000351","""LICEO HOLCIM """"EDUCAMOS PARA LA INNOVACION Y EL EMPRENDIMIENTO"""""""
"115322000024","I.E. VALLE DE TENZA - SEDE PRINCIPAL"
"315176000067","COLEGIO DE EDUCACION BASICA Y MEDIA TECNICA NUESTRA SEÑORA DE NAZARETH"
"115572000348","IE JOHN F. KENNEDY - SEDE PRINCIPAL"
"215572000385","IE GUANEGRO - SEDE PRINCIPAL"
"115798000014","IE TEC JOSE GABRIEL CARVAJAL GARCIA - SEDE PRINCIPAL"
"215442000057","COL DE EDUC BAS LA CABAÑA"
"115755000371","COL FRANCISCO JOSE DE CALDAS"
"115723000167","IE TEC SEÑOR DE LOS MILAGROS - SEDE PRINCIPAL"
"215572000393","IE PUERTO PINZON - SEDE PRINCIPAL"
"315238001430","COLEGIO CAMPESTRE SAN DIEGO - SEDE PRINCIPAL"
"115001000367","CARLOS ARTURO TORRES SEDE CENTRAL"
"215296000058","I.E. SAZA - SEDE PRINCIPAL"
"215494000063","I.E. LLANO GRANDE - SEDE PRINCIPAL"
"215759001768","INSTITUCIÓN EDUCATIVA NUESTRA SEÑORA DE MORCA"
"415764800023","COLEGIO MILITAR CORONEL JUAN JOSE RONDON - SEDE PRINCIPAL"
"215464000085","I.E. TUNJUELO - SEDE PRINCIPAL"
"215667000048","COL EDUC BAS Y MEDIA NUEVA ESPERANZA"
"215232000020","I.E. EL CERRO - SEDE PRINCIPAL"
"215204000278","I.E. SANTA BARBARA - SEDE PRINCIPAL"
"215804000395","IE ANDRES ROMERO AREVALO - SEDE PRINCIPAL"
"115696000010","I.E. TECNICO AGROPECUARIO - SEDE PRINCIPAL"
"115814000011","I.E. PLINIO MENDOZA NEIRA - SEDE PRINCIPAL"
"315176001097","CORPORACION SANTO DOMINGO"
"215814000253","I.E. TECNICA RAFAEL URIBE - SEDE PRINCIPAL"
"315690000416","I.E. TEC JACINTO VEGA - SEDE PRINCIPAL"
"115001000065","I.E. SILVINO RODRIGUEZ CENTRAL"
"115244000012","I.E. JOSÉ SANTOS GUTIERREZ - SEDE PRINCIPAL"
"115272000010","COL DE FIRAVITOBA"
"315299000436","COLEGIO CENCOV CIENCIA Y CULTURA - SEDE PRINCIPAL"
"315469000533","COL SAN MIGUEL ARCANGEL"
"115835000011","INST INTEG NZADO DIEGO DE TORRES"
"315001003942","CENTRO JUVENIL AMIGONIANO BOYACÁ - SEDE PRINCIPAL"
"315176001072","COLEGIO BOLIVARIANO"
"115500000084","COL ESTATAL NICOLAS CUERVO Y R - SECCION B"
"215172000050","COL JUAN DE JESÚS ACEVEDO"
"115837000256","I.E. TÉCNICA CHICAMOCHA - SEDE PRINCIPAL"
"115276000014","I.E. HECTOR JULIO RANGEL QUINTERO - SEDE PRINCIPAL"
"115087000208","I.E.T. CARLOS ALBERTO OLANO VALDERRAMA - SEDE PRINCIPAL"
"215664000055","COL BAS MUÑOCES Y CAMACHOS"
"115476000124","COL DE EDUC BAS MEDIA ACAD Y TEC SANTA CRUZ DE MOTAVITA"
"115189000148","I.E. JOSE CAYETANO VASQUEZ - SEDE PRINCIPAL"
"115466000115","INSTITUCION EDUCATIVA TECNICA DE MONGUI"
"315455000344","COLEGIO CENCOV CIENCIA Y CULTURA - SEDE PRINCIPAL"
"115822000152","COL JORGE ELIECER GAITAN"
"215646000170","IE TEC SALAMANCA - SEDE PRINCIPAL"
"215531000320","ESC AGUA FRIA"
"115753000013","IE JUAN JOSE RONDON - SEDE PRINCIPAL"
"315238000026","COLEGIO SALESIANO"
"115759001887","INSTITUCION EDUCATIVA POLITECNICO ALVARO GONZALEZ SANTANA"
"115764000082","IE SIMON BOLIVAR - SEDE PRINCIPAL"
"115131000172","IE FRANCISCO JOSE DE CALDAS - SEDE PRINCIPAL"
"215755000171","I.E. TECNICA JAIRO ALBARRACIN BARRERA - SEDE PRINCIPAL"
"115798000014","INST NACINAL DE PROMOCIÓN SOCIAL"
"215664000055","IE TECNICA LA AMISTAD - SEDE PRINCIPAL"
"115087000208","SECCIÓN BACHILLERATO"
"115759001615","INSTITUCION EDUCATIVA  SUGAMUXI"
"315001003241","CENTRO DE INVESTIGACIONES PEDAGÓGICAS  RAYUELA"
"315187000069","INST TÉCNICO AGROP"
"315646000522","COL SAGRADO CORAZON DE JESUS"
"215224000011","COL EDUC BASIC PIJAOS"
"315238001721","COLEGIO COMFABOY"
"215180000034","I.E. LAS MERCEDES - SEDE PRINCIPAL"
"115299000011","I.E. TECNICO INDUSTRIAL MARCO AURELIO BERNAL - SEDE PRINCIPAL"
"215189000126","COL EDUC BAS CEBADAL"
"115466000011","I.E.T. JOSE ACEVEDO Y GOMEZ - SEDE PRINCIPAL"
"315176800012","COLEGIO SUPERIOR SAN BARTOLOME - SEDE PRINCIPAL"
"115835000283","INST TEC INDUSTRIAL"
"215212000112","I.E. SAN MIGUEL - SEDE PRINCIPAL"
"215580000521","COL DIVINO NIÑO DE CORMAL"
"315001000081","COL DE ED. BASICA LEV VYGOTSKI"
"315176001144","GIMNASIO CRISTIANO JESUCRISTO ES EL REY - SEDE PRINCIPAL"
"115001000057","COLEGIO DE BOYACA"
"215244000131","I.E. EL CARDON - SEDE PRINCIPAL"
"115820000023","I.E. TECNICA CARLOS JULIO UMAÑA TORRES - SEDE PRINCIPAL"
"215238000315","I.E. AGROINDUSTRIAL LA PRADERA - SEDE PRINCIPAL"
"115759002131","INSTITUCION EDUCATIVA SAN MARTÍN DE TOURS"
"215861000121","IE SAN ANTONIO DE PADUA - SEDE PRINCIPAL"
"215224000011","I.E. TECNICA PIJAOS - SEDE PRINCIPAL"
"215761000051","IE NORMAL SUPERIOR VALLE DE TENZA - SEDE PRINCIPAL"
"115832000151","INST TEC AGROP LUIS GUILLERMO ROJAS BARRERA CENTRO"
"115842000272","IE TEC SAN IGNACIO - SEDE PRINCIPAL"
"315759000019","INSTITUTO SAN MARTIN"
"115001002751","INSTITUCION EDUCATIVA JULIUS SIEBER"
"215533000106","INSTITUCION EDUCATIVA EL ROSARIO"
"315001000293","COLEGIO GRAN COLOMBIA"
"115759000465","INSTITUCION EDUCATIVA MAGDALENA"
"315293000141","I.E. JUAN JOSE NEIRA - SEDE PRINCIPAL"
"315001001842","COLEGIO LOS ÁNGELES"
"215442000057","I.E. LA CABAÑA - SEDE PRINCIPAL"
"315572000037","COLEGIO SANTA TERESITA"
"315759000090","COLEGIO MILITAR INOCENCIO CHINCA"
"415204800001","GIMNASIO CAMBRIDGE - SEDE PRINCIPAL"
"315621000218","I.E.T. AGROPECUARIA SAN RAFAEL - SEDE PRINCIPAL"
"215693000200","I.E. TECNICA EL PORTACHUELO - SEDE PRINCIPAL"
"215469000083","I.E. MARCO FIDEL SUÁREZ - SEDE PRINCIPAL"
"215763000075","IE ADOLFO MARIA JIMENEZ - SEDE PRINCIPAL"
"215580000041","COL TEC NSTRA SRA DE LA PAZ"
"315516000741","I.E. FRAY ARTURO AYALA - SEDE PRINCIPAL"
"115276000031","COL EDUC BAS SIMON BOLIVAR"
"215599000123","IE NAGUATA - SEDE PRINCIPAL"
"115476000124","I.E.T. SANTA CRUZ DE MOTAVITA - SEDE PRINCIPAL"
"115407000015","I.E. TECNICA INDUSTRIAL ANTONIO RICAURTE - SEDE PRINCIPAL"
"215632000657","COL RURJUAN PABLO II"
"115820000023","INST INTEGD CARLOS JULIO UMAÑA TORRES"
"115001001061","LIBERTADOR SIMON BOLIVAR CENTRAL"
"115087000011","I.E. TECNICA SUSANA GUILLEMIN - SEDE PRINCIPAL"
"215533000106","I.E. EL ROSARIO - SEDE PRINCIPAL"
"315638000131","INSTITUCION EDUCATIVA MARIA MONTESSORI - SEDE PRINCIPAL"
"215092000105","I.E.T. AGROPECUARIO SANTA RITA DE CASIA - SEDE PRINCIPAL"
"115224000067","COL DPTAL SAN FELIPE"
"315759000243","COLEGIO COMERCIAL ADVENTISTA DE SOGAMOSO CADES"
"115537000025","INST DE BTO TECNICO"
"115403000011","COL NAL LA SALLE"
"415403000197","I.E. TECNICA AGROINDUSTRIAL CUSAGUI - SEDE PRINCIPAL"
"215480000427","ESC NIAUNZA"
"215759000907","INSTITUCION EDUCATIVA TECNICO INDUSTRIAL GUSTAVO JIMENEZ"
"115051000155","I.E.T. ALEJANDRO DE HUMBOLDT - SEDE PRINCIPAL"
"115322000016","I.E.TÉCNICA ENRIQUE OLAYA HERRERA - SEDE PRINCIPAL"
"115494000131","I.E. NUESTRA SEÑORA DE LA ANTIGUA - SEDE PRINCIPAL"
"115804000021","IE GUSTAVO ROMERO HERNANDEZ - SEDE PRINCIPAL"
"215507000041","I.E. SAMUEL IGNACIO SANTAMARIA - SEDE PRINCIPAL"
"415837000225","ESC SIDERURGICA"
"315681000331","COL MPAL PABLO VALETTE"
"115109000363","COL JOSE MARIA SILVA SALAZAR"
"215204000278","COL MPAL AGROP SANTA BARBARA"
"115810000220","COL LUCAS CABALLERO CALDERON"
"315407000286","COL DULCE CORAZON DE MARIA"
"115522000126","I.E.T DE PANQUEBA - SEDE PRINCIPAL"
"315238000018","SEDE CAMPOAMOR"
"115572000011","IE SAN PEDRO CLAVER- SEDE PRINCIPAL"
"315223000119","I.E. TECNICA NACIONALIZADA PABLO VI - SEDE PRINCIPAL"
"115774000021","I.E. NUESTRA SEÑORA DEL CARMEN - SEDE PRINCIPAL"
"115720000212","COL NRTA SRA DEL ROSARIO"
"415480000400","IE CONCHA MEDINA DE SILVA"
"115507000012","I.E. SAN IGNACIO DE LOYOLA - SEDE PRINCIPAL"
"115835000011","IE DIEGO DE TORRES - SEDE PRINCIPAL"
"115368000151","COL DE EDUC BAS Y MEDIA TEC LOPEZ QUEVEDO"
"115466000011","JOSE ACEVEDO Y GOMEZ"
