"cole_cod_dane_establecimiento","cole_nombre_establecimiento"
"215759001768","INSTIUCION EDUCATIVA NUESTRA SEÑORA DE MORCA"
"115367000017","I.E.T. COMERCIAL"
"315001003772","INSTITUCION EDUCATIVA URIBESCO"
"215183000337","I.E. JESUS EMILIO JARAMILLO MONSALVE"
"315001002237","COLEGIO COOSERVICIOS DAGOBERTO JIMENEZ JIMENEZ"
"115757000395","I.E. ESCUELA NORMAL SUPERIOR"
"315516000628","IE JUAN BAUTISTA MARIA VIANNEY"
"315176000644","COLEGIO SEMINARIO MENOR DIOCESANO"
"215837000340","I.E. EL CRUCE"
"315001003942","CENTRO JUVENIL AMIGONIANO BOYACÁ"
"215632000681","IE JOSE MARIA CORDOBA"
"315001000293","GIMNASIO GRAN COLOMBIANO"
"315001000145","COL. NUESTRA SEÑORA DE FÁTIMA"
"115861000011","I.E. FRANCISCO DE PAULA SANTANDER"
"315176000016","I.E.T. COMERCIAL SAGRADO CORAZON DE JESUS"
"315001001010","COLEGIO SALESIANO MALDONADO"
"215814000253","I.E. TECNICA RAFAEL URIBE"
"115183000391","I.E. JOSE MARIA POTIER"
"215469000083","I.E. MARCO FIDEL SUÁREZ"
"115600000014","IE SAN ANTONIO"
"315693000263","COL JUAN PABLO II"
"215180000034","I.E. LAS MERCEDES"
"315759000014","COLEGIO CELCO"
"315759800029","JUAN PABLO II"
"115646000019","I.E. TECNICA NACIONALIZADA DE SAMACA"
"315293000141","I.E. JUAN JOSE NEIRA"
"315001000188","COLEGIO DE LA PRESENTACION TUNJA"
"115572000062","I.E. ANTONIA SANTOS"
"415632000869","COLEGIO NUEVA INGLATERRA"
"115676000013","I.E. TECNICA ALFONSO VANEGAS SIERRA"
"315299000428","LICEO MODERNO JEAN PIAGET"
"215507000530","I.E. SAN JOSE DE NAZARETH"
