"cole_codigo_icfes","cole_nombre_sede"
"111138","COLEGIO TECNICO MUNICIPAL FRANCISCO DE PAULA SANTANDER"
"666354","COLEGIO NACIONALIZADO LA PRESENTACION SEDE NORTE"
"49411","GIMNASIO CAMPESTRE DEL NORTE"
"666230","I.E.T. AGROPECUARIO LA ESMERALDA - SEDE PRINCIPAL"
"339713","I.E. JUAN JOSE RONDON - SEDE PRINCIPAL"
"716126","INSTITUCION EDUCATIVA GABRIEL GARCIA MARQUEZ - SEDE PRINCIPAL"
"748848","I.E. NUEVA GENERACION - SEDE PRINCIPAL"
"38745","IE SAN JOSÉ DE LA FLORIDA"
"132027","CENT EDUC. SASA"
"27847","I.E. TECNICA ANTONIO NARIÑO - SEDE PRINCIPAL"
"54627","I.E.T DE PANQUEBA - SEDE PRINCIPAL"
"71449","I.E. SANTO DOMINGO SAVIO - SEDE PRINCIPAL"
"49437","I.E. AGRICOLA ANTONIO NARIÑO - SEDE PRINCIPAL"
"166546","I.E. GENERAL SANTANDER"
"159327","I.E. ALFONSO VANEGAS SIERRA - SEDE PRINCIPAL"
"336347","IE NUEVA ESPERANZA  - SEDE PRINCIPAL"
"40477","COL DPTAL HONORIO ANGEL Y OLARTE"
"139113","COL DE EDUC BAS LA CABAÑA"
,"I.E. NORMAL SUPERIOR SOR JOSEFA DEL CASTILLO Y GUEVARA - SEDE PRINCIPAL"
,"I.E. NORMAL SUPERIOR SAGRADO CORAZÓN - SEDE PRINCIPAL"
"338798","INSTITUCIÓN EDUCATIVA NUESTRA SEÑORA DE MORCA"
"155341","COLTEC AGROP PUERTO SERVIEZ"
"111138","INSTITUTO TECNICO SANTO TOMAS DE AQUINO SEDE BACHILLERATO"
"134692","COLEGIO DE BOYACA"
"90928","I.E. TEC IND JULIO FLOREZ - SEDE PRINCIPAL"
"91447","EDIFICIO CALLE 18"
"13094","COLEGIO DE EDUCACION FORMAL FLEXIBLE SAN MATEO"
"28654","I.E. PLINIO MENDOZA NEIRA - SEDE PRINCIPAL"
"159871","I.E. LOS NARANJOS - SEDE PRINCIPAL"
"45492","COL NZADO TEC AGROP VALENTIN GARCIA"
"132019","I.E. ANTONIA SANTOS - SEDE PRINCIPAL"
"27631","COL SAN IGNACIO"
"122044","I.E.T. SANTA CRUZ DE MOTAVITA - SEDE PRINCIPAL"
"51714","COLEGIO MAYOR LEON XIII"
"145409","I.E. TUNJUELO - SEDE PRINCIPAL"
"151696","IE ANDRES ROMERO AREVALO - SEDE PRINCIPAL"
"96727","INSTITUTO POLITECNICO JOSE CELESTINO MUTIS"
,"I.E. NICOLAS CUERVO Y ROJAS - SEDE PRINCIPAL"
,"I.E. JOSE MARIA SILVA SALAZAR - SEDE PRINCIPAL"
,"I.E.T. ALEJANDRO DE HUMBOLDT - SEDE PRINCIPAL"
"1678","INSTITUTO TECNICO INDUSTRIAL RAFAEL REYES-DUITAMA"
,"I.E. INDALECIO VASQUEZ  - SEDE PRINCIPAL"
,"GIMNASIO CAMPESTRE SANTO DOMINGO - SEDE PRINCIPAL"
,"COLEGIO COOPERATIVO REYES PATRIA"
"104547","INSTITUTO TECNICO GONZALO SUAREZ RENDON CENTRAL"
"28654","CENTRAL"
"57133","COLEGIO LA PRESENTACIÓN"
"4986","I.E. TEC IND JULIO FLOREZ - SEDE PRINCIPAL"
"101493","IE SERGIO CAMARGO - SEDE PRINCIPAL"
"91447","INSTITUCION EDUCATIVA FRANCISCO DE PAULA SANTANDER"
"151399","I.E. TECNICA EL PORTACHUELO - SEDE PRINCIPAL"
"154567","COLEGIO UNICAB VIRTUAL - SEDE PRINCIPAL"
"153023","I.E. EL MORAL - SEDE PRINCIPAL"
"52852","I.E. TECNICA ALFONSO LOPEZ PUMAREJO - SEDE PRINCIPAL"
"26328","COLEGIO COOPERATIVO GABRIEL CAMARO PEREZ"
"119263","INSTITUCION EDUCATIVA ANTONIO NARIÑO"
"60061","SEDE CENTRAL"
"151381","I.E. LAS MERCEDES - SEDE PRINCIPAL"
"106971","I.E. TOQUILLA - SEDE PRINCIPAL"
"155010","CENTRO JUVENIL AMIGONIANO BOYACÁ - SEDE PRINCIPAL"
"108241","INSTITUCION EDUCATIVA RAFAEL GUTIERREZ GIRARDOT"
"149807","COL EDUC BAS CEBADAL"
"133934","AMERICAN SCHOOL SAINT FRANCES"
"150649","I.E. AGROPECUARIA - SEDE PRINCIPAL"
"37689","COLEGIO DEPARTAMENTAL HORIZONTES"
"163543","I.E.T. SERGIO CAMARGO - SEDE PRINCIPAL"
,"COLEGIO CORPORACION SANTO DOMINGO"
"154815","IE NORMAL SUPERIOR - SEDE PRINCIPAL"
,"I.E. VALLE DE TENZA - SEDE PRINCIPAL"
,"I.E.T. SAN PEDRO DE IGUAQUE - SEDE PRINCIPAL"
"19342","IE TEC IND ANTONIO RICAURTE - SEDE PRINCIPAL"
"147041","IE CARLOS ARTURO TORRES PEÑA - SEDE PRINCIPAL"
"86231","COLEGIO DE BOYACA"
"60038","IE JORGE CLEMENTE PALACIOS - SEDE PRINCIPAL"
,"INSTITUCION EDUCATIVA LA INDEPENDENCIA"
"746222","I.E. EL CRUCE - SEDE PRINCIPAL"
"747428","COLEGIO DE EDUCACION FORMAL FLEXIBLE SAN MATEO"
"4762","COLEGIO DE LA PRESENTACION TUNJA"
"29611","IE FRANCISCO JOSE DE CALDAS - SEDE PRINCIPAL"
"49486","I.E. TECNICA SEÑOR DE LOS MILAGROS - SEDE PRINCIPAL"
"54585","I.E.T PANTANO DE VARGAS - SEDE PRINCIPAL"
"706879","COLEGIO SUPERIOR SAN BARTOLOME - SEDE PRINCIPAL"
"4945","I.E. DE CERINZA - SEDE PRINCIPAL"
"86231","INSTITUTO SAN FERNANDO FERRINI"
"60087","INST TEC AGROP LUIS GUILLERMO ROJAS BARRERA CENTRO"
"5173","INST NACIONALIZADO SAN LUIS"
"152223","COL ED BAS EL CARDON"
"101493","COLEGIO CENCOV CIENCIA Y CULTURA - SEDE PRINCIPAL"
"5280","COL NAZADO LISANDRO CELY"
"675371","INSTITUTO TECNICO SANTO TOMAS DE AQUINO SEDE BACHILLERATO"
"120667","I.E. TECNICO SIMONA AMAYA - SEDE PRINCIPAL"
"151639","I.E. TECNICA IGNACIO GIL SANABRIA - SEDE PRINCIPAL"
"159160","I.E.T. SAN PEDRO DE IGUAQUE - SEDE PRINCIPAL"
,"SEDE CENTRAL"
"333948","ESC AGUA FRIA"
,"COLEGIO SALESIANO MALDONADO"
"160218","I.E. MIRAFLORES - SEDE PRINCIPAL"
,"I.E. LA CANDELARIA - SEDE PRINCIPAL"
,"INSTITUCION EDUCATIVA URIBESCO - SEDE PRINCIPAL"
,"I.E. SAN ISIDRO - SEDE PRINCIPAL"
,"IE TEC ANTONIO NARIÑO - SEDE PRINCIPAL"
,"I.E. JOSÉ SANTOS GUTIERREZ - SEDE PRINCIPAL"
"5330","I.E.T. DE NOBSA - SEDE PRINCIPAL"
"747410","COLEGIO DE EDUCACION FORMAL FLEXIBLE SAN MATEO"
"5504","IE JUAN JOSE RONDON - SEDE PRINCIPAL"
"783480","ESCUELA NORMAL SUPERIOR LEONOR ALVAREZ PINZON"
"145029","I.E. TECNICA LA LAJA - SEDE PRINCIPAL"
"67694","COL MPAL PABLO VALETTE"
"151993","COLEGIO JESUS MAESTRO - SEDE PRINCIPAL"
"151266","COL DE EDUC BAS MARCO AURELIO VARGAS"
"159434","IE TECNICA RAMON IGNACIO AVELLA - SEDE PRINCIPAL"
"5553","COLEGIO CELCO"
,"COLEGIO NUEVA INGLATERRA - SEDE PRINCIPAL"
"139931","I.E. TÉCNICA ZULIA DE MARIPÍ - SEDE PRINCIPAL"
"746115","I.E. SANTA ROSA - SEDE PRINCIPAL"
"171934","COLEGIO MONTESSORI - SEDE PRINCIPAL"
"741769","I.E. TECNICA NUESTRA SEÑORA DE LA O - SEDE PRINCIPAL"
"46029","CONC DE DESARROLLO RURAL"
"40451","COL DPTAL SAN FELIPE"
"154161","COL DE EDUC BAS JAIME RUIZ CARRILLO"
,"INST SOLUCION EDUCATIVA SOLED"
,"COLEGIO JESUS EUCARISTIA"
,"IE TEC Y ACAD ANTONIO NARIÑO - SEDE PRINCIPAL"
,"I.E.T. AGROPECUARIO LA ESMERALDA - SEDE PRINCIPAL"
,"ESC SAN JOSE DE LA MONTAÑA"
,"IE PEDREGAL ALTO - SEDE PRINCIPAL"
"4754","COLEGIO SEMINARIO DIOCESANO"
,"INSTITUCION EDUCATIVA SAN MARTÍN DE TOURS"
"675405","COLEGIO TECNICO MUNICIPAL FRANCISCO DE PAULA SANTANDER"
"147850","GIMNASIO MODERNO SANTA SOFIA"
"736454","COLEGIO TECNICO MUNICIPAL SIMÓN BOLIVAR"
"38745","IE SAN JOSE DE LA FLORIDA - SEDE PRINCIPAL"
"607606","CENT EDUC COL GIMNASIO SANTANDER"
"170803","COLEGIO CORPORACION SANTO DOMINGO"
"30015","LIC NAL JOSE JOAQUIN CASAS"
"5207","COL DE EDUC PREESC BAS Y MEDIA TEC VALLE DE TENZA"
"67686","I.E. NICOLAS CUERVO Y ROJAS - SEDE PRINCIPAL"
"24828","IE TEC Y ACAD ANTONIO NARIÑO - SEDE PRINCIPAL"
"28530","COLEGIO SALESIANO MALDONADO"
"4846","CARLOS ARTURO TORRES SEDE CENTRAL"
"33159","IE DE EDUC BAS Y MEDIA TEC JOSE ANTONIO PAEZ - SEDE PRINCIPAL"
"151217","COL DE EDUC BAS CASCAJAL"
"608661","INSTITUCION EDUCATIVA MARIA MONTESSORI - SEDE PRINCIPAL"
"149955","IE TECNICA LA AMISTAD - SEDE PRINCIPAL"
"153783","INSTITUCION EDUCATIVA TECNICA DE MONGUI"
"120659","IE PUERTO PINZON - SEDE PRINCIPAL"
